Aleksandra Adžić;068/973-93-10
Andrija Aperlić;067/510-14-02
Anđelija Ankić;067/121-72-79
Aćim Amidžić;069/236-43-02
Aksentije Aleksandrić;066/065-74-03
Aca Aksentić;068/939-43-18
Anica Andrijanić;069/955-96-11
Avram Aničić;065/049-22-51
Aksentije Amidžić;069278-59-28
Aćim Avrić;069/575-0434
Alimpije Aladžić;062/617-31-72
Andrija Aguridić;062/7591881
Anđa Atlagić;062/531-77-56
Anka Azarić;062/374-85-11
Aranđel Aćić;068 309-01-57
Aca Apelić;065/848-79-69
Angelina Andrejić;066/953-19-69
Atanasije Anokić;060/390-81-83
Antonina Anić;062/130-70-54
Anđa Adžić;062/642-17-03
Arsenije Avdulić;061/826-39-93
Arsenije Abramić;063/586-22-64
Andrija Ajdarić;067/538-85-35
Avram Ajdačić;069/851-98-29
Aranđel Anušić;061/170-19-90
Aleksija Anušić;060/721-09-81
Aleksandar Ananić;063/897-50-20
Anka Aljetić;069/897-42-04
Atanasije Alimpić;061/660-72-60
Aca Ačić;060/430-78-00
Anastasija Adamić;065/225-25-16
Aleksija Aladić;069/439-24-46
Aleksandra Aulić;061/593-85-78
Anđelka Aničić;061/068-34-68
Atanasije Aguridić;060/497-53-76
Arsenije Aljetić;063/634-54-35
Aksentije Aulić;060/734-44-04
Aranđel Aškrabić;066/024-56-36
Aranđel Abramić;069/550-65-83
Aleksandar Arsenić;060/081-10-62
Andrijana Ađančić;062/938-58-24
Anđa Alimpić;062/224-25-16
Anđa Ajdučić;061/808-35-88
Aćim Andesilić;067/584-36-95
Avram Atlagić;069/561-15-72
Aleksandra Andrić;067/833-16-97
Avram Arsić;067/771-33-85
Adam Anojčić;065/972-66-39
Anica Anđić;062/684-25-65
Agnija Aleksić;066/425-32-90
Adam Avrić;060/233-76-04
Atanasije Aleksić;066/376-99-64
Aca Adžić;069/032-03-24
Antonina Abadžić;062/053-46-00
Antonina Anojčić;060/289-21-20
Anđelko Abramić;065/409-56-48
Andrijana Ananić;066/028-49-17
Anđelka Andesilić;067/903-09-66
Aranđel Arsekić;062/959-41-37
Anđelko Alinčić;061/523-44-24
Anđa Abadžić;066/537-37-02
Anastasija Alorić;066/151-73-23
Alimpije Ajdačić;069/600-02-69
Anđelko Anđelić;062/693-41-08
Adam Ačić;065/340-50-73
Anka Adamić;068/353-16-40
Anđelija Ankić;061/904-32-74
Anastasija Alargić;067/119-27-81
Adam Aleksendrić;067/044-36-57
Anđelija Andrejić;069/690-47-80
Aćim Abramić;063/726-45-52
Anastasija Adžić;064/392-84-27
Antonina Aladžić;060/857-24-14
Anđelka Aladžić;068/858-27-47
Atanasije Anojčić;061/840-65-49
Adam Ananić;067/163-58-59
Andrijana Alargić;064/049-39-94
Aca Aleksandrić;064/839-23-83
Andrijana Aligrudić;060/811-06-35
Ana Aćić;065/662-14-56
Aleksa Anđelić;066/108-38-84
Anđelka Aljetić;062/643-30-38
Aleksija Ajdučić;061/905-15-07
Aleksija Anđušić;066/677-72-46
Aleksandar Alinčić;064/363-51-01
Anica Avrić;061/107-60-37
Adam Ađančić;067/451-37-55
Adam Arambašić;066/236-72-61
Aca Anokić;061/308-47-24
Anđelka Ajdarić;060/269-21-16
Alimpije Apić;067/642-81-55
Anđelko Aničić;065/527-68-71
Ana Apić;064/412-55-96
Aleksija Aladić;066/997-84-26
Aranđel Anđić;065/402-91-05
Aleksija Adžić;062/251-65-18
Anđelka Antonić;067/662-33-03
Agnija Aladić;062/346-13-21
Anđelka Acić;064/627-78-52
Aćim Arambašić;066/318-75-92
Anka Adžić;068/038-53-38
Anica Andić;061/549-91-02
Avram Anokić;068/583-99-75
Anđelko Acić;064/320-15-13
